problem,Level ,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,RDFRE,RDFKGL,RDL2,modified_problem,no_of_equations,no_of_variables,has_exponential_or_mod,has_logarithm,has_fraction,has_equality_or_inequality
"Suppose that  a^2  varies inversely with  b^3 . If  a=7  when  b=3 , find the value of  a^2  when  b=6 .",Level 4,1,2,21,2,0,12,4.243,1.238,0.539,3.286,2.171,0.228,58.71,0.266,60.26,-2.741,0.31,-1.161,12.3,1.684,95.35,-1.073,14.23,2.487,99.34,1.755,95.99,0,0,1,0,0,1,0,0,0,0,0,0,0.264,0,0.264,0,0,0,0.114,0.708,24,0,142.857,0,47.619,0,95.238,0,0,0,0,95.238,95.238,0,0,0,0.015,0.1,1,3,1,0.619,0.81,0.81,0.111,0.111,238.095,238.095,47.619,95.238,0,0,0,0,95.238,238.095,47.619,47.619,0,0,0,0,0,0,2.348,3.389,0,352.5,539,289.667,310.333,365.5,2.375,7,1.31,0.856,91.443,3.113,13.91,"Suppose that  a^2  varies inversely with  b^3 . If  a=7  when  b=3 , find the value of  a^2  when  b=6 .",0,0,FALSE,FALSE,FALSE,FALSE
"Find the product of all constants  t  such that the quadratic  x^2 + tx - 10  can be factored in the form  (x+a)(x+b) , where  a  and  b  are integers.",Level 4,1,1,30,1,0,31,0,1.233,0.568,3.5,2.403,-2.986,0.14,-1.854,3.22,-0.596,27.76,0.365,64.06,-5.173,0,7.579,100,0.45,67.36,-27.087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,44.847,0,33.333,0,0,0,0,0,33.333,0,0,33.333,33.333,0,0,0,0.253,0.667,-2,0,1,0,0,0,0,0,366.667,133.333,0,133.333,0,0,0,0,200,33.333,133.333,0,0,0,0,0,0,0,2.679,3.381,0,376.333,546.889,333,322.875,326.6,3.061,5.549,1.486,1.28,72.073,10.659,14.45,"Find the product of all constants  t  such that the quadratic  x^2 + tx - 10  can be factored in the form  (x+a)(x+b) , where  a  and  b  are integers.",0,0,FALSE,FALSE,FALSE,FALSE
"Mackenzie bought 142 feet of fencing with which to enclose her rectangular garden. If the numbers of feet in the lengths of the garden's sides are natural numbers, what is the maximum number of square feet that can be enclosed by the fencing?",Level 4,1,2,44,2,0,22,12.728,1.386,0.689,4.477,2.298,0.075,52.79,-1.92,2.74,1.942,97.38,3.038,99.88,-1.301,9.68,-0.307,38.21,1.074,85.77,-4.054,0,1,1,1,1,1,1,0.304,0,0.304,0,0,0,0.401,0,0.401,0,0,0,0.157,0.727,45.173,0,45.455,22.727,22.727,0,0,0,0,0,0,0,0,22.727,0,0.5,0.22,0.333,0.5,9,1,0.727,0.864,0.864,0.011,0.011,409.091,181.818,0,136.364,22.727,0,0,22.727,295.454,90.908,90.909,0,22.727,0,0,0,22.727,0,2.12,3.114,0.3,295,564.588,450.5,486.824,448.077,4.106,6.833,1.505,2.114,67.249,9.345,18.584,"Mackenzie bought 142 feet of fencing with which to enclose her rectangular garden. If the numbers of feet in the lengths of the garden's sides are natural numbers, what is the maximum number of square feet that can be enclosed by the fencing?",0,0,FALSE,FALSE,FALSE,FALSE
Let  p  and  q  be the two distinct solutions to the equation   (x-5)(2x+9) = x^2-13x+40.  What is  (p + 3)(q + 3) ?,Level 4,1,2,25,2,0,13,9.899,1.2,0.577,3,2.55,-1.515,6.55,-2.975,0.15,-3.173,0.08,1.589,94.29,-3.747,0,2.222,98.68,-0.091,46.41,1.699,95.45,1,1,1,1,1,1,0.154,0,0.154,0,0,0,0.626,0,0.626,0,0,0,0.224,0.808,37.856,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0.294,1,1,8.5,2.167,0.76,0.84,0.84,0.022,0.022,280,160,0,40,0,0,0,0,320,80,80,0,0,0,0,0,0,0,2.275,2.898,0,506,566,271.25,325.75,349,2.556,5.863,1.12,1.861,92.628,3.445,14.877,Let  p  and  q  be the two distinct solutions to the equation   (x-5)(2x+9) = x^2-13x+40.  What is  (p + 3)(q + 3) ?,0,0,FALSE,FALSE,FALSE,FALSE
Find the center of the circle with equation  x^2 - 6x + y^2 + 2y = 9 .,Level 4,1,1,18,1,0,15,0,1.167,0.514,2.667,2.142,-2.879,0.21,-1.213,11.31,4.869,100,0.576,71.57,-4.458,0,3.377,99.96,1.969,97.5,-27.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1.8,0,0,0,0,0,333.333,111.111,0,111.111,0,0,0,0,444.445,55.556,0,0,0,0,0,0,0,0,1.878,2.912,0,243,580.5,433,480.5,429,2.65,4.509,1.75,1.891,89.837,5.201,-3.323,Find the center of the circle with equation  x^2 - 6x + y^2 + 2y = 9 .,0,0,FALSE,FALSE,FALSE,FALSE
"For the graph of a certain quadratic  y = ax^2 + bx + c , the vertex of the parabola is  (3,7)  and one of the  x -intercepts is  (-2,0) .  What is the  x -coordinate of the other  x -intercept?",Level 4,1,2,40,2,0,19.5,13.435,1.35,0.77,3.45,2.837,-2.487,0.66,-3.146,0.08,-3.728,0,2.357,99.06,-2.493,0.64,7.728,100,-0.357,36.32,1.936,97.32,1,1,1,1,1,1,0.25,0,0.25,0,0,0,0.51,0,0.51,0,0,0,0.188,0.667,39,0,50,25,25,0,0,25,25,0,0,0,0,0,0,1,1,1,1,9,2,0.65,0.8,0.8,0.013,0.013,350,75,0,125,0,0,0,0,375,75,125,0,0,0,0,0,0,0,2.404,3.527,0,311,567.5,354.333,369.833,333.4,2.488,4.864,0.846,1.756,72.325,8.14,22.195,"For the graph of a certain quadratic  y = ax^2 + bx + c , the vertex of the parabola is  (3,7)  and one of the  x -intercepts is  (-2,0) .  What is the  x -coordinate of the other  x -intercept?",0,0,FALSE,FALSE,FALSE,FALSE
What is the largest value of  x  that satisfies the equation    sqrt{2x}=4x ? Express your answer in simplest fractional form.,Level 4,1,2,21,2,0,10.5,4.95,1.524,0.75,4.667,2.595,-1.304,9.68,-0.31,37.83,-1.665,4.85,-2.755,0.3,-2.945,0.16,0.508,69.15,2.305,98.93,1.356,91.15,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0.172,0,0,0,0.077,0.952,123.48,0,0,0,0,0,0,0,0,0,0,47.619,47.619,47.619,0,0,0.036,0.333,1,0.5,1.8,0.714,1,1,0.024,0.024,285.714,142.857,0,95.238,0,0,0,0,380.952,142.857,142.857,0,47.619,0,0,47.619,0,0,2.266,3.014,0,394.25,584.429,338,376,410,3.609,4.528,1.996,1.835,67.247,6.488,6.756,What is the largest value of  x  that satisfies the equation    sqrt{2x}=4x ? Express your answer in simplest fractional form.,0,0,FALSE,FALSE,FALSE,FALSE
Find the sum of all values of  x  such that  2^{x^2-3x-2} = 4^{x - 4} .,Level 4,1,1,17,1,0,18,0,1.059,0.243,2.588,1.734,-2.166,1.54,-0.551,29.12,-0.025,49.2,0.608,72.57,-4.838,0,2.681,99.63,2.797,99.74,-27.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,18,0,0,0,0,0,0,0,0,0,0,58.824,58.824,0,0,0,0,0,-2,0,0.8,0,0,0,0,0,411.765,117.647,0,117.647,0,0,0,0,235.295,58.824,58.824,0,0,0,0,0,0,0,2.15,2.922,0,327.667,547.5,309.5,335.75,341,2.474,5.405,1.75,1.23,99.989,3.536,2.709,Find the sum of all values of  x  such that  2^{x^2-3x-2} = 4^{x - 4} .,0,0,FALSE,FALSE,FALSE,FALSE
"Let  f(x) = ax+b , where  a  and  b  are real constants, and  g(x) = 2x - 5 . Suppose that for all  x , it is true that  g(f(x)) = 3x + 4 . What is  a+b ?",Level 4,1,3,37,3,0,11.667,6.807,1.054,0.229,2.486,1.835,0.688,75.17,0.51,69.5,-2.892,0.19,0.862,80.51,-1.071,14.23,2.024,97.83,-1.783,3.75,1.849,96.71,0.5,0.5,0.5,0.333,0.333,0.333,0.196,0.076,0.131,0.125,0,0,0.48,0.546,0.329,0.466,0,0,0.261,0.686,35,0,81.081,27.027,27.027,0,0,27.027,54.054,0,0,54.054,54.054,27.027,0,0.5,0.233,0.667,1,0.333,0.6,0.771,0.83,0.8,0.046,0.037,324.324,189.189,0,27.027,0,0,0,0,216.216,135.135,54.054,0,27.027,0,0,0,0,0,2.762,2.804,1.8,0,600.429,238.333,286.714,362.333,3.114,5.618,1.334,1.203,100,1.657,29.345,"Let  f(x) = ax+b , where  a  and  b  are real constants, and  g(x) = 2x - 5 . Suppose that for all  x , it is true that  g(f(x)) = 3x + 4 . What is  a+b ?",0,0,FALSE,FALSE,FALSE,FALSE
"Rationalize the denominator of    frac{  sqrt{32}}{  sqrt{16}-  sqrt{2}} . The answer can be written as    frac{A  sqrt{B}+C}{D} , where  A ,  B ,  C , and  D  are integers,  D  is positive, and  B  is not divisible by the square of any prime.  Find the minimum possible value of  A+B+C+D .",Level 4,1,3,52,3,0,18.333,13.577,1.423,0.936,3.712,2.615,-0.781,21.77,0.677,74.86,-2.021,2.17,-1.257,10.56,-1.77,3.84,1.101,86.43,-1.188,11.9,-3.125,0.09,0,0,0.5,0,0,0.333,0.12,0.17,0.08,0.139,0,0,0.087,0.023,0.079,0.021,0,0,0.068,0.618,22.947,0,76.923,19.231,0,0,19.231,0,38.462,0,0,57.692,57.692,19.231,0,0.5,0.138,0.364,0.5,0.667,1.267,0.767,0.907,0.885,0.039,0.052,384.615,211.538,0,96.154,19.231,19.231,19.231,0,269.231,153.847,134.615,19.231,0,0,0,0,0,0,2.433,3.185,0,312.25,567.833,327.8,354.091,396.778,3.21,5.642,1.13,1.475,68.856,7.961,17.648,"Rationalize the denominator of    frac{  sqrt{32}}{  sqrt{16}-  sqrt{2}} . The answer can be written as    frac{A  sqrt{B}+C}{D} , where  A ,  B ,  C , and  D  are integers,  D  is positive, and  B  is not divisible by the square of any prime.  Find the minimum possible value of  A+B+C+D .",0,0,FALSE,FALSE,FALSE,FALSE
"A line segment begins at  (2, 5) . It is 10 units long and ends at the point  (-6, y)  where  y > 0 . What is the value of  y ?",Level 4,1,3,28,3,0,9.333,4.933,1.143,0.356,2.893,1.729,-0.345,36.69,-0.342,36.69,-1.219,11.31,-0.124,45.22,-2.923,0.18,1.828,96.56,-0.456,32.64,1.936,97.32,0,0,0.5,0,0,0.333,0.192,0.272,0.128,0.222,0.5,0.333,0.48,0.289,0.35,0.304,0,0,0.241,0.821,43.904,0,35.714,0,0,0,0,0,35.714,0,0,35.714,35.714,0,0,0,0.122,0.6,1,1.667,0.875,0.721,0.812,0.812,0.067,0.056,357.143,214.286,0,107.143,0,0,0,0,214.285,178.571,107.143,0,35.714,0,0,0,0,0,2.385,3.088,1.175,386.75,560.222,358.444,395.111,413.167,4.242,6.197,0.718,1.236,100,1.537,22.071,"A line segment begins at  (2, 5) . It is 10 units long and ends at the point  (-6, y)  where  y > 0 . What is the value of  y ?",0,0,FALSE,FALSE,FALSE,FALSE
Solve for  x :    left(  frac{1}{4}  right)^{2x+8} = (16)^{2x+5} .,Level 4,1,1,12,1,0,13,0,1,0,2.917,1.621,-0.545,29.46,0.59,71.9,3.3,99.95,0.992,83.89,1.863,96.86,0.987,83.65,2.227,98.68,-27.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923,47.32,0,83.333,83.333,83.333,0,0,83.333,0,0,0,0,0,0,0,1,0.016,0,-2,0,0,0,0,0,0,0,166.667,250,0,83.333,0,0,83.333,0,166.666,249.999,0,0,0,0,0,0,0,0,2.08,2.442,0,0,599,361,372,413,2.714,8.323,1.278,1.463,100,0.89,1.154,Solve for  x :    left(  frac{1}{4}  right)^{2x+8} = (16)^{2x+5} .,0,0,FALSE,FALSE,FALSE,FALSE
"Brenda is going from  (-4,5)  to  (5,-4) , but she needs to stop by the origin on the way. How far does she have to travel?",Level 4,1,2,26,2,0,13.5,9.192,1.192,0.491,3.346,1.384,2.104,98.21,-1.569,5.94,-0.461,32.28,1.099,86.21,-0.298,38.59,1.403,91.92,-1.928,2.74,1.323,90.66,0,1,0,0,1,0,0.2,0,0.2,0,1,1,0.107,0,0.107,0,0,0,0.069,0.778,34.02,0,76.923,38.462,38.462,38.462,0,0,38.462,0,0,38.462,38.462,38.462,0,0.5,0.049,0.524,1,1.5,1,0.692,0.846,0.846,0.018,0.018,269.231,307.692,0,115.385,0,0,38.462,76.923,115.385,153.847,0,38.462,76.923,0,0,0,76.923,0,2.655,3.401,1.68,492,576,312.25,369,434.571,4.567,4.606,1.002,0.694,92.797,3.546,25.472,"Brenda is going from  (-4,5)  to  (5,-4) , but she needs to stop by the origin on the way. How far does she have to travel?",0,0,FALSE,FALSE,FALSE,FALSE
"Let  f(x) = Ax - 2B^2  and  g(x) = Bx , where  B   neq 0 . If  f(g(1)) = 0 , what is  A  in terms of  B ?",Level 4,1,2,29,2,0,13,1.414,1,0,1.828,1.197,1.221,88.88,-0.649,25.78,0.491,68.79,3.631,100,-1.555,6.06,-3.245,0.06,-0.33,37.07,1.283,89.97,1,1,1,1,1,1,0.308,0,0.308,0,0,0,0.697,0,0.697,0,0,0,0.247,0.808,37.856,0,68.966,0,34.483,0,0,0,34.483,0,0,34.483,34.483,34.483,0,0,-0.018,0.333,1,0,0.273,0.724,0.724,0.724,0.014,0.014,482.759,137.931,0,68.966,0,0,0,0,310.345,103.449,0,0,0,0,0,0,0,0,2.246,2.669,1.8,352.5,549.667,407.333,419.333,387.5,2.5,6.176,0.838,1.709,100,1.865,21.776,"Let  f(x) = Ax - 2B^2  and  g(x) = Bx , where  B   neq 0 . If  f(g(1)) = 0 , what is  A  in terms of  B ?",0,0,FALSE,FALSE,FALSE,FALSE
Solve for  Q  if    sqrt{Q^3} = 16  sqrt[8]{16} .,Level 4,1,1,12,1,0,11,0,1,0,2.25,1.422,-3.596,0,4.598,100,-11.813,0,0.002,50,2.066,98.03,-9.371,0,5.948,100,-23.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727,11.293,0,166.667,83.333,166.667,0,0,83.333,0,0,0,83.333,83.333,83.333,0,0.5,0,0,-2,0,1.333,0,0,0,0,0,250,166.667,0,83.333,0,0,0,0,250,83.333,83.333,0,0,0,0,0,0,0,1.577,2.418,0,0,0,0,0,0,1.154,6,2.333,1.564,100,0.89,-10.021,Solve for  Q  if    sqrt{Q^3} = 16  sqrt[8]{16} .,0,0,FALSE,FALSE,FALSE,FALSE
Find the leading coefficient in the polynomial  -3(x^4 - x^3 + x) + 7(x^4 + 2) - 4(2x^4 + 2x^2 + 1)  after it is simplified.,Level 3,1,1,32,1,0,27,0,1.344,0.937,2.594,2.872,-2.341,0.96,-1.104,13.57,2.947,99.84,0.754,77.34,-4.244,0,3.258,99.94,1.949,97.38,-27.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,13.5,0,31.25,0,0,0,0,0,0,0,0,31.25,31.25,0,0,0,0.044,0.3,-2,0,1,0,0,0,0,0,406.25,125,0,31.25,31.25,0,31.25,0,156.25,125,31.25,0,31.25,0,0,0,0,0,2.11,2.839,0,336,553,447,429,392,2.171,1.4,1.053,0.35,60.653,12.749,1.821,Find the leading coefficient in the polynomial  -3(x^4 - x^3 + x) + 7(x^4 + 2) - 4(2x^4 + 2x^2 + 1)  after it is simplified.,0,0,FALSE,FALSE,FALSE,FALSE
Define    #N  by the formula    #N = .5(N) + 1 . Calculate    #(  #(  #50)) .,Level 3,1,3,13,3,0,3.667,2.887,1.385,0.768,2.846,2.703,-1.005,15.87,6.98,100,-15.125,0,0.382,64.8,-1.312,9.51,-14.688,0,5.288,100,0.24,59.48,0.5,0.5,0.5,0.333,0.333,0.333,0.214,0.303,0.143,0.247,0,0,0.427,0.457,0.34,0.356,0,0,0.227,0.818,16.94,0,76.923,76.923,0,0,0,0,0,0,0,153.846,153.846,76.923,0,0.5,0.018,0,0.5,0.333,0.333,0.709,0.909,0.909,0.319,0.227,538.462,307.692,0,76.923,0,0,0,0,307.692,307.692,0,0,0,0,0,0,0,0,1.563,2.222,1.47,0,0,0,0,0,2.733,6.632,1.271,2.107,85.266,2.443,20.416,Define    #N  by the formula    #N = .5(N) + 1 . Calculate    #(  #(  #50)) .,0,0,FALSE,FALSE,FALSE,FALSE
"Given that  M(2,5)  is the midpoint of    overline{AB}  and  A(3,1)  is one endpoint, what is the product of the coordinates of point  B ?",Level 3,1,1,26,1,0,28,0,1.385,0.804,3.769,2.597,-1.735,4.18,-1.983,2.39,1.476,92.92,1.223,88.88,-4.411,0,9.499,100,-0.276,39.36,-27.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,36.587,0,38.462,0,0,0,0,0,38.462,0,0,0,0,0,0,0,0.323,0.6,-2,5,1,0,0,0,0,0,423.077,153.846,0,115.385,0,0,0,0,307.692,192.308,38.462,0,0,0,0,0,0,0,3.323,3.784,0,0,589,330.167,353.5,363.2,5.036,5.104,1.008,1.638,63.274,10.893,28.752,"Given that  M(2,5)  is the midpoint of    overline{AB}  and  A(3,1)  is one endpoint, what is the product of the coordinates of point  B ?",0,0,FALSE,FALSE,FALSE,FALSE
Solve for t:  3   cdot 3^t +   sqrt{9   cdot 9^t} = 18 .,Level 3,1,1,15,1,0,13,0,1,0,2.067,1.486,-3.195,0.07,3.437,99.97,-12,0,0.205,57.93,-2.079,1.92,-8.23,0,6.305,100,-23.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615,13,0,66.667,66.667,66.667,0,0,66.667,0,0,0,66.667,66.667,66.667,0,0.5,0,0,-2,0,1,0,0,0,0,0,333.333,133.333,0,66.667,0,0,0,0,266.667,133.333,0,0,0,0,0,0,0,0,2,2.434,0,0,0,0,0,0,1.471,1.893,1.167,0.583,100,2.06,-0.621,Solve for t:  3   cdot 3^t +   sqrt{9   cdot 9^t} = 18 .,0,0,FALSE,FALSE,FALSE,FALSE
"If  a  is three times  b ,  b  is twice  c , and  c  is four times  d , what is the value of    frac{a  cdot c}{b  cdot d} ?",Level 3,1,1,28,1,0,28,0,1.036,0.189,2.607,1.571,-3.919,0,-1.359,8.85,-2.14,1.62,0.84,79.67,-3.545,0,13.505,100,-0.69,24.51,-27.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607,18.968,0,71.429,0,35.714,0,0,0,35.714,0,0,0,0,0,0,0,1,1,-2,7,1.125,0,0,0,0,0,464.286,142.857,0,35.714,0,0,0,0,321.429,142.857,35.714,35.714,0,0,0,0,0,0,3.192,3.292,0,433,601.714,263.714,315.857,367.667,4.125,5.545,0.846,1.665,90.769,7.555,25.857,"If  a  is three times  b ,  b  is twice  c , and  c  is four times  d , what is the value of    frac{a  cdot c}{b  cdot d} ?",0,0,FALSE,FALSE,FALSE,FALSE
What is the remainder when the sum of the first 102 counting numbers is divided by 5250?  (The first counting number is 1.),Level 3,1,2,23,2,0,11.5,7.778,1.348,0.647,4.174,2.289,-0.051,48.01,-1.019,15.39,0.615,72.91,4.238,100,4.737,100,3.797,100,-3.877,0,0.942,82.64,1,1,1,1,1,1,0.5,0,0.5,0,0,0,0.554,0,0.554,0,0,0,0.202,0.696,23,0,173.913,43.478,86.957,0,130.435,0,86.957,0,0,0,0,0,0,1,0.478,0.5,1,2.5,1.5,0.652,0.739,0.565,0.021,0.021,347.826,173.913,0,86.957,43.478,0,0,0,260.869,130.435,86.957,0,0,0,0,0,0,0,2.671,3.485,0,252,591.571,320.143,395.286,411.857,4.28,7.36,0.926,1.915,81.122,4.801,41.682,What is the remainder when the sum of the first 102 counting numbers is divided by 5250?  (The first counting number is 1.),0,0,FALSE,FALSE,FALSE,FALSE
"Line  a  is parallel to line  y=2x+4  and passes through the point  (2,5) . What is the y-intercept of line  a ?",Level 3,1,2,20,2,0,12,5.657,1.3,0.801,4.05,2.523,0.313,62.17,-2.164,1.54,0.059,51.99,4.095,100,-2.769,0.29,2.689,99.63,-2.02,2.17,0.961,83.15,1,1,1,1,1,1,0.385,0,0.385,0,0,0,0.657,0,0.657,0,0,0,0.234,0.75,26.88,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0.336,0.333,1,1.5,1.4,0.6,0.8,0.8,0.024,0.024,300,200,0,100,0,0,0,50,400,150,50,0,0,0,0,0,0,0,2.797,3.423,0,275,588,366.375,399.75,389.375,6.909,4.645,1.453,1.887,86.705,3.65,38.648,"Line  a  is parallel to line  y=2x+4  and passes through the point  (2,5) . What is the y-intercept of line  a ?",0,0,FALSE,FALSE,FALSE,FALSE
For what value of  x  is the expression    frac{2x^3+3}{x^2-20x+100}  not defined?,Level 3,1,1,15,1,0,18,0,1.267,0.594,3.933,2.738,-1.184,11.9,-0.35,36.32,-2.594,0.48,0.676,74.86,-0.118,45.62,2.705,99.65,3.02,99.87,-26.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889,45.36,0,66.667,66.667,66.667,0,0,66.667,0,0,0,0,0,0,0,1,0.015,0.333,-2,10,0.6,0,0,0,0,0,400,200,0,133.333,0,66.667,0,0,333.333,200.001,66.667,66.667,0,0,0,0,0,0,2.504,3.1,0,433,564.25,263.75,300.5,292.5,3,6.2,1.032,2.131,84.422,5.211,10.576,For what value of  x  is the expression    frac{2x^3+3}{x^2-20x+100}  not defined?,0,0,FALSE,FALSE,FALSE,FALSE
"Given that  2^x+ 2^x+ 2^x+ 2^x= 128 , what is the value of  (x + 1)(x - 1) ?",Level 3,1,1,21,1,0,20,0,1.095,0.301,2.143,1.352,-2.296,1.1,-1.901,2.87,0.212,58.32,0.815,79.1,-4.635,0,8.056,100,3.275,99.95,-27.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,11.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061,1,-2,0,1.5,0,0,0,0,0,285.714,47.619,0,95.238,0,0,0,0,238.095,95.238,0,0,0,0,0,0,0,0,2.893,3.248,0,433,586.667,270.333,315.333,395,3.583,3.067,1.673,0.778,92.883,5.521,19.196,"Given that  2^x+ 2^x+ 2^x+ 2^x= 128 , what is the value of  (x + 1)(x - 1) ?",0,0,FALSE,FALSE,FALSE,FALSE
"Suppose that    alpha  is inversely proportional to    beta .  If    alpha = -3  when    beta = -6 , find    alpha  when    beta = 8 .  Express your answer as a fraction.",Level 3,1,3,28,3,0,8.333,2.517,1.536,0.744,4.036,2.715,-0.474,31.92,1.651,95.05,-0.619,26.76,0.031,51.2,2.139,98.34,-0.356,36.32,1.91,97.19,1.475,92.92,0.5,0.5,0.5,0.333,0.333,0.333,0.231,0.326,0.154,0.266,0,0,0.385,0.521,0.288,0.405,0,0,0.216,0.8,35,0,142.857,0,35.714,0,107.143,0,0,0,0,107.143,107.143,35.714,0,0,0.048,1,1,2,0.222,0.668,0.909,0.909,0.115,0.138,357.143,250,0,71.429,0,0,0,0,250,142.857,142.857,35.714,35.714,0,0,35.714,0,0,1.727,2.455,1.17,344.333,582,343.75,367,391.667,2.594,8.086,2.385,2.067,67.416,6.175,12.431,"Suppose that    alpha  is inversely proportional to    beta .  If    alpha = -3  when    beta = -6 , find    alpha  when    beta = 8 .  Express your answer as a fraction.",0,0,FALSE,FALSE,FALSE,FALSE
"The numbers 1, 3, 6, 10,    ldots , are called triangular numbers, as shown geometrically here.  What is the  20^{  text{th}}  triangular number?

[asy]

dot((0,0));
label(""1"",(0,-1.5));

dot((3,0));
dot((4,0));
dot((3,1));
label(""3"",(3.5,-1.5));

dot((7,0));
dot((8,0));
dot((9,0));
dot((7,1));
dot((7,2));
dot((8,1));
label(""6"",(8,-1.5));

dot((12,0));
dot((13,0));
dot((14,0));
dot((15,0));
dot((12,1));
dot((13,1));
dot((14,1));
dot((12,2));
dot((13,2));
dot((12,3));
label(""10"",(13.5,-1.5));

[/asy]",Level 3,27,28,81,1.037,0.192,3.821,2.611,1.247,0.767,3.568,1.943,-2.619,0.45,3.945,100,2.724,99.67,1.921,97.26,-1.805,3.59,-4.918,0,0.596,72.24,1.633,94.84,0.593,0.63,0.63,0.591,0.596,0.596,0.302,0.245,0.301,0.254,0,0,0.604,0.49,0.298,0,0.616,0.496,0.583,0.318,14.191,9.672,12.346,0,0,0,12.346,0,0,0,0,0,0,12.346,0,0,0.005,0.037,1,0.286,2.5,0.739,0.913,0.739,0.687,0.641,382.716,37.037,12.346,0,12.346,0,0,0,641.976,24.691,24.691,24.691,0,0,0,0,0,0,1.3,1.757,1.3,232.32,538.704,494.778,524.074,435,2.471,4.321,2.214,2.021,98.402,0.253,41.732,"The numbers 1, 3, 6, 10,    ldots , are called triangular numbers, as shown geometrically here.  What is the  20^{  text{th}}  triangular number?

[asy]

dot((0,0));
label(""1"",(0,-1.5));

dot((3,0));
dot((4,0));
dot((3,1));
label(""3"",(3.5,-1.5));

dot((7,0));
dot((8,0));
dot((9,0));
dot((7,1));
dot((7,2));
dot((8,1));
label(""6"",(8,-1.5));

dot((12,0));
dot((13,0));
dot((14,0));
dot((15,0));
dot((12,1));
dot((13,1));
dot((14,1));
dot((12,2));
dot((13,2));
dot((12,3));
label(""10"",(13.5,-1.5));

[/asy]",0,0,FALSE,FALSE,FALSE,FALSE
Simplify the following expression:  (x^5+x^4+x+10)-(x^5+2x^4-x^3+12).  Express your answer as a polynomial with the degrees of the terms in decreasing order.,Level 3,1,2,26,2,0,16,1.414,1.615,1.023,4.731,2.878,-1.034,15.15,-0.627,26.76,-0.583,28.1,-2.225,1.32,-1.978,2.44,-0.623,26.76,2.38,99.13,1.59,94.29,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0,0.232,0,0,0,0.099,0.75,27.152,0,38.462,0,0,0,38.462,0,0,0,0,38.462,38.462,38.462,0,0,-0.033,0.333,1,0,1.143,0.692,0.923,0.923,0.018,0.018,423.077,115.385,0,153.846,0,0,38.462,0,269.231,115.385,115.385,0,38.462,0,0,38.462,0,0,1.833,2.853,0,400.167,561.714,360.857,402.714,430.25,2.6,5.858,1.881,1.555,57.011,8.537,-3.218,Simplify the following expression:  (x^5+x^4+x+10)-(x^5+2x^4-x^3+12).  Express your answer as a polynomial with the degrees of the terms in decreasing order.,0,0,FALSE,FALSE,FALSE,FALSE
